intent,example_sentence,response_template
greeting,Merhaba,"Merhaba! Ben sağlık danışmanı chatbot'unuzum. Size semptomlarınız, ilaç kullanımı, doktor seçimi ve sağlıklı yaşam konularında yardımcı olabilirim. Hangi konuda bilgi almak istiyorsunuz?"
greeting,Selam,"Selam! Sağlık konularında size praktik öneriler verebilirim. Semptomlarınızı değerlendirebilir, hangi doktora gitmeniz gerektiğini söyleyebilir, genel sağlık tavsiyeleri verebilirim."
greeting,İyi günler,"İyi günler! Size şu konularda yardımcı olabilirim: 🩺 Semptom değerlendirmesi, 💊 İlaç bilgileri, 👨‍⚕️ Doktor yönlendirme, 💡 Sağlık tavsiyeleri. Ne ile ilgili yardıma ihtiyacınız var?"
greeting,Günaydın,"Günaydın! Bugün sağlığınızla ilgili hangi konuda size yardımcı olabilirim? Semptomlarınızı sorabilir, sağlık tavsiyeleri alabilir veya hangi doktora gitmeniz gerektiğini öğrenebilirsiniz."
greeting,Merhaba doktor,"Merhaba! Ben bir sağlık danışmanı AI'yım. Size genel sağlık konularında bilgi verebilirim ama tıbbi teşhis koyamam. Semptomlarınızı dinler, genel öneriler verebilir ve uygun doktora yönlendirebilirim."
greeting,Hey,"Selam! Sağlığınızla ilgili sorularınızı yanıtlayabilirim. Semptomlar, ilaçlar, doktor seçimi - hangi konuda yardıma ihtiyacınız var?"
greeting,Hi,İyi günler! Size pratik sağlık önerileri verebilirim. Şikayetlerinizi dinler ve size en uygun çözüm yollarını önerebilirim.
greeting,Hoşgeldiniz,Hoş geldiniz! Sağlık danışmanı olarak size yardımcı olmak için buradayım. Hangi konuda bilgi almak istiyorsunız?
greeting,Merhaba,"Merhaba! Size semptom değerlendirmesi, doktor önerisi ve sağlık tavsiyeleri konularında yardımcı olabilirim. Ne ile ilgili bilgi almak istiyorsunuz?"
greeting,Selam,"Selam! Sağlığınızla ilgili sorularınızı yanıtlayabilirim. Semptomlar, ilaçlar, doktor seçimi - hangi konuda yardıma ihtiyacınız var?"
greeting,İyi günler,İyi günler! Size pratik sağlık önerileri verebilirim. Şikayetlerinizi dinler ve size en uygun çözüm yollarını önerebilirim.
greeting,Günaydın,Hoş geldiniz! Sağlık danışmanı olarak size yardımcı olmak için buradayım. Hangi konuda bilgi almak istiyorsunız?
greeting,İyi akşamlar,"Merhaba! Size semptom değerlendirmesi, doktor önerisi ve sağlık tavsiyeleri konularında yardımcı olabilirim. Ne ile ilgili bilgi almak istiyorsunuz?"
greeting,Hey,"Selam! Sağlığınızla ilgili sorularınızı yanıtlayabilirim. Semptomlar, ilaçlar, doktor seçimi - hangi konuda yardıma ihtiyacınız var?"
greeting,Hi,İyi günler! Size pratik sağlık önerileri verebilirim. Şikayetlerinizi dinler ve size en uygun çözüm yollarını önerebilirim.
greeting,Hoşgeldiniz,Hoş geldiniz! Sağlık danışmanı olarak size yardımcı olmak için buradayım. Hangi konuda bilgi almak istiyorsunız?
greeting,Merhaba,"Merhaba! Size semptom değerlendirmesi, doktor önerisi ve sağlık tavsiyeleri konularında yardımcı olabilirim. Ne ile ilgili bilgi almak istiyorsunuz?"
greeting,Selam,"Selam! Sağlığınızla ilgili sorularınızı yanıtlayabilirim. Semptomlar, ilaçlar, doktor seçimi - hangi konuda yardıma ihtiyacınız var?"
greeting,İyi günler,İyi günler! Size pratik sağlık önerileri verebilirim. Şikayetlerinizi dinler ve size en uygun çözüm yollarını önerebilirim.
