intent,example_sentence,response_template
greeting,Merhaba,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selam,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,İyi günler,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Günaydın,Günaydın! Bugün size nasıl yardımcı olabilirim?
greeting,İyi akşamlar,İyi akşamlar! Size nasıl yardımcı olabilirim?
greeting,Hoş geldiniz,Hoş bulduk! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba doktor,Merhaba! Ben bir sağlık danışmanı chatbot'uyum. Size nasıl yardımcı olabilirim?
greeting,Hey,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamün aleyküm,Aleykümselam! Size nasıl yardımcı olabilirim?
greeting,Hi,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hello,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Merhabalar,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamlar,Selam! Sağlık konularında yardımcı olmak için buradayım.
greeting,İyi sabahlar,İyi sabahlar! Size nasıl yardımcı olabilirim?
greeting,Merhaba hemşire,Merhaba! Ben sağlık danışmanı chatbot'uyum. Yardımcı olabilirim.
greeting,Selam doktor,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba bot,Merhaba! Sağlık danışmanı olarak size yardımcı olabilirim.
greeting,Bana yardım et,Tabii ki! Size nasıl yardımcı olabilirim?
greeting,Yardım lazım,Elbette! Size nasıl yardımcı olabilirim?
greeting,Merhaba size bir sorum var,Merhaba! Sorularınızı cevaplamak için buradayım.
greeting,Selamün aleyküm,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi geceler,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Size sormak istediğim var,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Hayırlı akşamlar,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hayırlı günler,Selam! Sağlık konularında size yardımcı olmak için buradayım.
